,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
1357,NOGALES INTERNATIONAL WASTEWATER TREATMENT PLANT,13,,http://echo.epa.gov/detailed-facility-report?fid=110028190419,31.456667,-110.968056
2096,TOLLESON WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110000730335,33.45029,-112.265672
10152,PINON WWTF,13,,http://echo.epa.gov/detailed-facility-report?fid=110024409460,35.092222,-110.226667
10519,KAYENTA WWTF,13,,http://echo.epa.gov/detailed-facility-report?fid=110010062699,36.733111,-110.230611
12951,GANADO WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110010062591,35.72,-109.572806
13150,CHINLE WWTF,13,,http://echo.epa.gov/detailed-facility-report?fid=110010062680,36.179194,-109.585806
17000,TUBA CITY WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110024409344,36.091381,-111.289585
70,TOWN OF FLORENCE WWTP,12,,http://echo.epa.gov/detailed-facility-report?fid=110017377113,33.0333,-111.4016
537,NORTHWEST WATER RECLAMATION PLANT,12,,http://echo.epa.gov/detailed-facility-report?fid=110000510000,33.431153,-111.877734
3728,APACHE JUNCTION WWTP,12,,http://echo.epa.gov/detailed-facility-report?fid=110010062314,33.358022,-111.554848
7721,COTTONWOOD WWTF,12,,http://echo.epa.gov/detailed-facility-report?fid=110055979455,34.72971,-112.043376
10130,PALO VERDE UTILITIES CO - WRF,12,,http://echo.epa.gov/detailed-facility-report?fid=110015940776,33.43711,-112.30719
15308,FESTIVAL RANCH WRF,12,,http://echo.epa.gov/detailed-facility-report?fid=110022853492,33.37051,-112.58422
1056,"ASARCO - RAY COMPLEX, RAY OPERATIONS",11,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000471338,33.156,-110.978
8365,USAF - LUKE AFB - LITCHFIELD PARK WWTP,11,,http://echo.epa.gov/detailed-facility-report?fid=110015956964,33.536814,-112.32162
11062,UPPER VILLAGE OF MOENKOPI WWTF,11,,http://echo.epa.gov/detailed-facility-report?fid=110024463962,36.132019,-111.184922
14557,"GOODYEAR, CITY OF - 157TH AVE WWTP",10,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000510894,33.3986,-112.3965
15318,GRAND CANYON SOUTH RIM WWTP,10,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007398805,36.049614,-112.15036
2225,PINEWOOD COUNTRY CLUB GOLF COURSE AND DRIVING RANGE,10,,http://echo.epa.gov/detailed-facility-report?fid=110070205544,34.94136,-111.64953
6550,TWIN ARROWS CASINO,10,,http://echo.epa.gov/detailed-facility-report?fid=110059716776,35.167266,-111.25888799999998
