,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
18574,CONTINENTAL CEMENT COMPANY,12,,http://echo.epa.gov/detailed-facility-report?fid=110067194262,41.460833,-90.690556
20321,PORT NEAL NITROGEN COMPLEX,12,,http://echo.epa.gov/detailed-facility-report?fid=110000414089,42.32786,-96.36489
21264,"NEW HEAVEN CHEMICALS IOWA, LLC",6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110061066199,43.31301,-93.20821
5700,GRAIN PROCESSING CORP,6,,http://echo.epa.gov/detailed-facility-report?fid=110017404548,41.3981,-91.0611
8525,JOHN DEERE PRODUCT ENGINEERING CENTER,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001388338,42.473889,-92.415833
18320,MINSA CORPORATION,5,,http://echo.epa.gov/detailed-facility-report?fid=110011272979,41.013162,-95.26521
4291,AG PARTNERS LLC-ELLSWORTH,4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007254023,42.30203,-93.56011
17223,VAN DIEST SUPPLY COMPANY,4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110069992088,42.47104,-93.88793
442,QUAD COUNTY CORN PROCESSORS COOPERATIVE,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007390340,42.47684,-95.41516
2216,"GREEN PLAINS LAKOTA, LLC",3,,http://echo.epa.gov/detailed-facility-report?fid=110006529729,43.38391,-94.14706
5363,"GOLDEN GRAIN ENERGY, LLC",3,,http://echo.epa.gov/detailed-facility-report?fid=110020160403,43.1112,-93.231
17785,LEHIGH CEMENT CO LLC,3,,http://echo.epa.gov/detailed-facility-report?fid=110000767705,43.1788,-93.2118
13305,LINCOLNWAY ENERGY LLC,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110024891027,42.02344,-93.51171
1096,ADM CORN PROCESSING,2,,http://echo.epa.gov/detailed-facility-report?fid=110010507503,41.9192,-91.6862
1670,TALL CORN ETHANOL,2,,http://echo.epa.gov/detailed-facility-report?fid=110008988051,41.861521,-94.632783
2077,THE ANDERSONS MARATHON HOLDINGS LLC,2,,http://echo.epa.gov/detailed-facility-report?fid=110025317146,41.98905,-95.39912
2305,"PLCP, L.P.",2,,http://echo.epa.gov/detailed-facility-report?fid=110018854952,42.45777800000001,-93.055833
3475,"TEMPLETON RYE SPIRITS, LLC",2,,http://echo.epa.gov/detailed-facility-report?fid=110070102005,41.917478,-94.94049
5647,POET BIOREFINING - CORNING,2,,http://echo.epa.gov/detailed-facility-report?fid=110030439835,40.965933,-94.79506
6563,BIG RIVER RESOURCES,2,,http://echo.epa.gov/detailed-facility-report?fid=110014396858,40.830643,-91.220425
