,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
26492,AVENTINE RENEWABLE ENERGY INC,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000438036,40.556809,-89.663372
27862,US STEEL GRANITE CITY,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110018406679,38.6954,-90.1367
70057,MEXICHEM SPECIALTY RESINS,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110018402780,41.135266,-89.341088
22402,INCOBRASA INDUSTRIES LTD,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000772593,40.762424,-88.014319
30136,IMPERIAL MARBLE CORP,12,,http://echo.epa.gov/detailed-facility-report?fid=110000433772,41.629281,-88.678758
22149,ILLINOIS CORN PROCESSING LLC,10,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000561945,40.552853000000006,-89.6716
54227,EQUISTAR CHEMICALS LP,10,2.0,http://echo.epa.gov/detailed-facility-report?fid=110058145172,39.79169,-88.35124
23392,AMERICAN STEEL FOUNDRIES - GRANITE CITY,10,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000438731,38.70316,-90.158809
81896,STEPAN CO MILLSDALE ROAD,9,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000432504,41.441667,-88.15972
53952,FLINT HILLS RESOURCES CHEMICAL INTERMEDIATES LLC - PERU,9,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000749637,41.32531,-89.11270999999998
18373,VEOLIA ES TECHNICAL SOLUTIONS LLC,9,,http://echo.epa.gov/detailed-facility-report?fid=110000438893,38.59452,-90.18551
14185,EQUISTAR CHEMICALS LP,8,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000433013,41.412897,-88.329773
26174,GATEWAY ENERGY & COKE CO LLC,7,2.0,http://echo.epa.gov/detailed-facility-report?fid=110043807538,38.696938,-90.130615
64802,CONTINENTAL TIRE,7,1.0,http://echo.epa.gov/detailed-facility-report?fid=110043806101,38.29007,-88.890371
40738,GERRESHEIMER GLASS INC,7,,http://echo.epa.gov/detailed-facility-report?fid=110000432443,41.50998,-87.61883
22570,TATE & LYLE INGREDIENTS AMERICAS LLC-DECATUR,6,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000578072,39.849947,-88.923464
63304,BASF CHEMICALS,6,2.0,http://echo.epa.gov/detailed-facility-report?fid=110043972207,41.085542,-87.880542
37216,DECATUR FOUNDRY INC,5,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000439491,39.860007,-88.943878
4081,TECHNISAND INC.,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001131454,41.462757,-89.08131800000002
34558,ENGINEERED STORAGE PRODUCTS,5,,http://echo.epa.gov/detailed-facility-report?fid=110000768544,41.901614,-88.756349
