,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
35431,MIDWEST SANITARY SERVICE INC,12,3.0,http://echo.epa.gov/detailed-facility-report?fid=110001347631,38.86751,-90.10418
77388,ZEGERS INC,12,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000917795,41.591076,-87.54334899999998
5726,SOUTHERN ILLINOIS UNIVERSITY,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110064128162,37.708289,-89.234369
6289,ENGINEERED PLASTIC COMPONETS,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000498998,40.314129,-88.19893499999998
18565,PEORIA DISPOSAL CO,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000438143,40.721221,-89.66148100000002
20217,EPIWORKS INC,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110002350660,40.159849,-88.271438
29557,MATLACK INC,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110009373579,41.64037,-87.72318
30021,CIRCUIT ENGINEERING LLC,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110001380096,42.002394,-87.965439
34483,VELOCITY SERVICES LLC,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110043221947,38.69051,-90.14079
42589,EMCO CHEMICAL DISTRIBUTORS INC,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110025170204,42.3204,-87.84707
44527,SOLVAY - UNIVERSITY PARK PLANT,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000433175,41.460542,-87.723107
48131,HELIGEAR ACQUISITION CO DBANORTHSTAR AEROSPACE (CHICAGO) INC,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000899608,41.76111,-87.77223000000002
78878,JOHNSON PAINTING & SANDBLASTING,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000888852,41.52401,-90.41463
89538,NATURAL GAS PIPELINE CO OF AMERICA,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110001800551,41.506035,-88.192748
1977,PROTESTANT MEMORIAL MED CTR,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110054813617,38.55053,-90.02144
26321,PLAYFIELD CLEANERS,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110005921477,41.66145,-87.75431800000001
3903,AUFFENBERGS COLLISION CENTER,12,,http://echo.epa.gov/detailed-facility-report?fid=110005934203,37.756469,-89.220302
4257,KCBX TERMINALS CO,12,,http://echo.epa.gov/detailed-facility-report?fid=110001812593,41.7116,-87.546745
4382,CARLE FOUNDATION HOSPITAL,12,,http://echo.epa.gov/detailed-facility-report?fid=110064102000,40.11743,-88.21441999999998
4764,PAXTON LANDFILL CORP,12,,http://echo.epa.gov/detailed-facility-report?fid=110018484086,41.673151,-87.564647
