,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
315,OLD OAK TRAILS EST MHP WWSL,13,,http://echo.epa.gov/detailed-facility-report?fid=110006742258,43.65999,-84.32717
828,YCUA REGIONAL WASTEWATER TREATMENT PLANT,13,,http://echo.epa.gov/detailed-facility-report?fid=110000540861,42.22486,-83.55442
871,GRAND RIVER GRAIN-CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110040770537,43.04421,-86.03679
1010,DOWAGIAC WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110009027258,41.98383,-86.133861
1240,CROSSROADS DAIRY-CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110041264985,42.717729,-85.553831
1572,"ENVIRONMENTAL GEO-TECHNOLOGIES, LLC",13,,http://echo.epa.gov/detailed-facility-report?fid=110002357048,42.24527,-83.31151
1869,CLYDE TOWNSHIP,13,,http://echo.epa.gov/detailed-facility-report?fid=110022460594,43.00131,-82.55314
1904,BERLYN ACRES-CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110041271316,42.981262,-84.709986
1932,WAYLAND TWP WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110055092849,42.608978,-85.65965600000001
2155,MDC-CAMP OJIBWAY WWSL,13,,http://echo.epa.gov/detailed-facility-report?fid=110009908430,46.31025,-89.71684
2456,ARMADA IND PARK,13,,http://echo.epa.gov/detailed-facility-report?fid=110009695106,42.80566,-82.98011
2550,SHAMROCK-CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110041271272,42.14622,-85.3536
2571,PRESTON FARMS-CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110041950635,41.869124,-84.843328
2572,COLEMAN WWSL,13,,http://echo.epa.gov/detailed-facility-report?fid=110009910481,43.75876,-84.57677
2618,CONTRACT FINISHERS INC-CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110043488678,42.687116,-86.113127
2634,ONTONAGON WWSL,13,,http://echo.epa.gov/detailed-facility-report?fid=110064507243,46.865462,-89.315454
2727,DETROIT BULK STORAGE- ECORSE,13,,http://echo.epa.gov/detailed-facility-report?fid=110067578268,42.262959,-83.12549399999997
2858,MILLINGTON WFP,13,,http://echo.epa.gov/detailed-facility-report?fid=110028274944,43.289931,-83.520371
2909,CHESANING WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110006741044,43.192753,-84.11022700000002
2938,BRIGHTON WTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110009910061,42.54347,-83.80821999999998
