,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
7763,CALUMET MONTANA REFINING,12,4.0,http://echo.epa.gov/detailed-facility-report?fid=110000428500,47.523611,-111.294167
11670,CHS INC  LAUREL REFINERY,12,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000595124,45.65922,-108.76778
1024,YELLOWSTONE ENERGY POWER PLANT,12,,http://echo.epa.gov/detailed-facility-report?fid=110001474164,45.811201,-108.428833
3556,PLUM CREEK MDF INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110000428644,48.37339,-114.19732
7117,WESTERN SUGAR COMPANY,11,,http://echo.epa.gov/detailed-facility-report?fid=110000428485,45.76981,-108.49823
16314,MONTANA SILVERSMITHS INC,6,,http://echo.epa.gov/detailed-facility-report?fid=110011675106,45.63116,-109.26356
7418,CONOCOPHILLIPS BILLINGS REFINERY,3,2.0,http://echo.epa.gov/detailed-facility-report?fid=110043806085,45.776389,-108.484444
965,EXXONMOBIL - BILLINGS REFINERY,2,,http://echo.epa.gov/detailed-facility-report?fid=110000428421,45.813904,-108.433295
13464,BILLINGS TRANSPORTATION OPERATIONS,2,,http://echo.epa.gov/detailed-facility-report?fid=110037609442,45.783734,-108.494885
7493,PLUM CREEK MFG. L.P.,1,,http://echo.epa.gov/detailed-facility-report?fid=110000428626,48.23014000000001,-114.28748
9781,HOLCIM TRIDENT CEMENT PLANT,1,,http://echo.epa.gov/detailed-facility-report?fid=110001473815,45.944769,-111.477076
13896,ROCKY MOUNTAIN POWER - HARDIN GENERATING STATION,1,,http://echo.epa.gov/detailed-facility-report?fid=110038363623,45.764338,-107.599558
12471,ROSEBURG FOREST PRODUCTS - MISSOULA PARTICLEBOARD,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000428582,46.8982,-114.02779
116,WILLISTON BASIN - VIDA STATION,0,,http://echo.epa.gov/detailed-facility-report?fid=110001977692,47.8969,-105.360298
181,AIR CONTROLS CO.,0,,http://echo.epa.gov/detailed-facility-report?fid=110039624243,45.78716,-108.49788999999998
455,PACIFIC STEEL/HIDES RECYCLING,0,,http://echo.epa.gov/detailed-facility-report?fid=110020280293,48.20493,-114.2977
607,GOLDEN SUNLIGHT MINES INCORPORATED,0,,http://echo.epa.gov/detailed-facility-report?fid=110000428564,45.902874,-112.011
638,HOLIDAY INN,0,,http://echo.epa.gov/detailed-facility-report?fid=110001474627,46.86927,-113.99409
653,CUT BANK FIELD STATION 025,0,,http://echo.epa.gov/detailed-facility-report?fid=110007111696,48.695,-112.956001
806,ACE AUTO REPAIR,0,,http://echo.epa.gov/detailed-facility-report?fid=110001474333,46.61648,-112.03698
