,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
45,BNSF RAILWAY COMPANY LIVINGSTON,12,,http://echo.epa.gov/detailed-facility-report?fid=110064264335,45.67238,-110.54701
964,JIM'S BODY WORKS INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110066975401,48.55594,-113.018345
975,HOYT'S TOWING,12,,http://echo.epa.gov/detailed-facility-report?fid=110066975410,48.33,-113.01
2398,GLACIER COUNTY ROAD SHOP,12,,http://echo.epa.gov/detailed-facility-report?fid=110066975394,48.61796,-112.35923
3709,PHILLIP BURLAND RESIDENCE,12,,http://echo.epa.gov/detailed-facility-report?fid=110046441720,47.68546,-114.14386
4851,BIA ROADS MAINTENANCE SHOP,12,,http://echo.epa.gov/detailed-facility-report?fid=110066975429,48.56134,-113.01278
5002,TIMBERLANE AUTO,12,,http://echo.epa.gov/detailed-facility-report?fid=110012348511,47.51514,-114.09479
5651,NAPA AUTO PARTS,12,,http://echo.epa.gov/detailed-facility-report?fid=110066975474,48.55279,-113.00987
5886,IHS BLACKFEET COMMUNITY HOSPITAL,12,,http://echo.epa.gov/detailed-facility-report?fid=110066975438,48.5659,-113.01906
8120,HIGH PLAINS MOTORS,12,,http://echo.epa.gov/detailed-facility-report?fid=110021323405,48.090944,-105.642833
8611,NEALS WRECKING,12,,http://echo.epa.gov/detailed-facility-report?fid=110040684872,47.51232,-114.19651
9610,JORE CORPORATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110006068370,47.502213,-114.096899
11194,HARVEY OST OILFIELD SERVICES,12,,http://echo.epa.gov/detailed-facility-report?fid=110066975330,48.40688400000001,-105.999987
12525,SINCLAIR GLASS & AUTO,12,,http://echo.epa.gov/detailed-facility-report?fid=110066975508,48.53469000000001,-113.01233
14889,GRASS WINDS VETERINARY CLINIC,12,,http://echo.epa.gov/detailed-facility-report?fid=110066975447,48.36,-112.44
16162,RONAN AUTO BODY,12,,http://echo.epa.gov/detailed-facility-report?fid=110011049383,47.530782,-114.097231
17178,SMITH'S AUTO SALVAGE,12,,http://echo.epa.gov/detailed-facility-report?fid=110018938676,47.45709,-114.09688
17568,POLSON AUTO SALVAGE,12,,http://echo.epa.gov/detailed-facility-report?fid=110006068389,47.645307,-114.11347
1760,ALBERTON HIGH SCHOOL,10,,http://echo.epa.gov/detailed-facility-report?fid=110069376482,47.004007,-114.481387
4991,UNIVERSITY OF PROVIDENCE,7,,http://echo.epa.gov/detailed-facility-report?fid=110020298916,47.48977,-111.27306000000002
