,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
13795,GIANT CEMENT COMPANY,12,4.0,http://echo.epa.gov/detailed-facility-report?fid=110000560544,33.242778,-80.442222
660,DUKE ENERGY LEE STEAM STATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110004937864,34.602373,-82.43526700000002
17667,JOHNSON CONTROLS BATTERY GROUP INC,10,4.0,http://echo.epa.gov/detailed-facility-report?fid=110040101653,34.157461,-79.57135600000002
15489,SANTEE COOPER WINYAH GENERATING STATION,10,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000353457,33.330842,-79.357839
14944,NUCOR STEEL-BERKELEY,9,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000353527,33.004096999999994,-79.8816
1695,SHOWA DENKO CARBON INC,9,,http://echo.epa.gov/detailed-facility-report?fid=110000353590,33.090278000000005,-80.341667
9257,COLLUMS LUMBER MILL INCORPORATED,8,1.0,http://echo.epa.gov/detailed-facility-report?fid=110013762678,33.020614,-81.313424
10094,SI GROUP INC,7,1.0,http://echo.epa.gov/detailed-facility-report?fid=110067426672,33.4675,-80.881111
1954,KAPSTONE PAPER AND PACKAGING,6,5.0,http://echo.epa.gov/detailed-facility-report?fid=110016966381,32.8995,-79.9667
1270,ALUMAX OF SOUTH CAROLINA INC,6,2.0,http://echo.epa.gov/detailed-facility-report?fid=110056954470,33.051743,-80.054289
6418,HONEYWELL SALISBURY,6,,http://echo.epa.gov/detailed-facility-report?fid=110000353402,32.846058,-80.002274
8397,WEYLCHEM US INC,5,4.0,http://echo.epa.gov/detailed-facility-report?fid=110000351930,34.136389,-80.76472199999998
232,HUECK FOILS L.L.C.,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001673270,34.17792,-80.98661
3026,SANTEE COOPER CROSS GENERATING STATION,4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000499764,33.369359,-80.11317199999998
16669,DOE AMERESCO SAVANNAH RIVER SITE BIOMASS COGEN,3,2.0,http://echo.epa.gov/detailed-facility-report?fid=110046328693,33.273610999999995,-81.688056
17226,NAN YA PLASTICS CORPORATION AMERICA,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000353965,33.834271,-79.763919
13009,SANTEE COOPER JOHN RAINEY GENERATING STATION,3,,http://echo.epa.gov/detailed-facility-report?fid=110017413734,34.347840999999995,-82.775251
402,JW ALUMINUM,2,5.0,http://echo.epa.gov/detailed-facility-report?fid=110017416090,33.031358000000004,-80.050892
3770,CARLISLE FINISHING CONE MILLS,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000587188,34.604444,-81.418611
5989,BANKS BROTHERS ASPHALT PAVING,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110020998946,35.021971,-82.413882
