,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL
11411,CITY OF MOODY,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009781218
85776,CITY OF WORTHAM,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009745758
74841,CITY OF TEAGUE WWTF,13,,http://echo.epa.gov/detailed-facility-report?fid=110030995065
45258,CITY OF STREETMAN WWTP,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009746677
47449,CITY OF ROSEBUD WWTP,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009781405
88986,CITY OF CALVERT WWTP,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009779427
100333,CITY OF BELLMEAD MS4,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110038372784
82685,LORENA PLANT,12,,http://echo.epa.gov/detailed-facility-report?fid=110055112827
96856,RELLIS CAMPUS WWTP,12,,http://echo.epa.gov/detailed-facility-report?fid=110009777624
107345,CITY OF MARQUEZ,12,,http://echo.epa.gov/detailed-facility-report?fid=110010921422
58871,CITY OF THORNTON WWTP,11,2.0,http://echo.epa.gov/detailed-facility-report?fid=110009746631
101171,CITY OF ROCKDALE WWTP,11,2.0,http://echo.epa.gov/detailed-facility-report?fid=110064631974
11003,CITY OF HEARNE WWTP 2,11,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009781021
67783,CITY OF WEST WWTP,11,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009781879
70361,CITY OF FRANKLIN,11,1.0,http://echo.epa.gov/detailed-facility-report?fid=110010923590
76175,CHILTON WATER SUPPLY & SEWER SERVICE WWTP,11,1.0,http://echo.epa.gov/detailed-facility-report?fid=110010923199
106401,GLEN OAKS MHP WWTF,11,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009776796
10188,CITY OF COOLIDGE WWTP,11,,http://echo.epa.gov/detailed-facility-report?fid=110031275037
15070,TXI-BRYAN INDEPENDENCE READY MIX,11,,http://echo.epa.gov/detailed-facility-report?fid=110005097929
22102,CEFCO 69,11,,http://echo.epa.gov/detailed-facility-report?fid=110034592821
