,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL
14594,WOLVERINE GASKET DIVISION - EAGLE-PICHER IND,10,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000343012
27369,US ARMY RADFORD ARMY AMMUNITION PLANT,5,5.0,http://echo.epa.gov/detailed-facility-report?fid=110000601867
1478,VIRGINIA CITY HYBRID ENERGY CENTER,5,2.0,http://echo.epa.gov/detailed-facility-report?fid=110055497779
4746,SOUTHERN FINISHING,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000869837
12103,VOLVO TRUCKS NORTH AMERICA INC,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000343101
15032,WOLVERINE GASKET CO,4,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000343003
26772,INGENCO BRISTOL PLANT,3,2.0,http://echo.epa.gov/detailed-facility-report?fid=110046597170
5143,DICKENSON-RUSSELL COAL CO/MCCLURE RIVER,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009767993
8724,INGEVITY VIRGINIA CORPORATION,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000870031
21560,CHEMICAL LIME KIMBALLTON PLANT,2,,http://echo.epa.gov/detailed-facility-report?fid=110020671450
27140,"SOUTHWEST COMPRESSOR & PUMPING PACKAGES, INC",1,2.0,http://echo.epa.gov/detailed-facility-report?fid=110033182286
8212,MC SIGN COMPANY,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110042329682
12911,STRONGWELL HIGHLANDS,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000492592
30615,LONGWOOD ELASTOMERS INCORPORATED,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110024528698
32038,CPFILMS INC - PLANT 1,1,,http://echo.epa.gov/detailed-facility-report?fid=110005227030
10194,QUIKRETE - MARTINSVILLE,0,3.0,http://echo.epa.gov/detailed-facility-report?fid=110020684516
3682,PETERS EQUIPMENT COMPANY LLC,0,2.0,http://echo.epa.gov/detailed-facility-report?fid=110040513012
1915,VFP INCORPORATED/CONCRETE SHELTER DIVISION,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001891463
2376,COAL FILLERS INCORPORATED,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110020678257
2479,MAXXIM REBUILD COMPANY LLC-INDUSTRIAL PARK RD,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110008183517
