REGISTRY_ID,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL
110070641090,KESSEL LUMBER SUPPLY INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110070641090
110067392663,PAUL WISSMACH GLASS COMPANY INC,10,1.0,http://echo.epa.gov/detailed-facility-report?fid=110067392663
110057956350,"GREEN SUSTAINABLE SOLUTIONS, LLC",10,,http://echo.epa.gov/detailed-facility-report?fid=110057956350
110001933025,"CAMDEN-CLARK MEMORIAL HOSPITAL,  NOLAN",9,2.0,http://echo.epa.gov/detailed-facility-report?fid=110001933025
110070648332,EVERGREEN HOLDINGS LLC,9,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070648332
110010720229,NEWCHEM,6,3.0,http://echo.epa.gov/detailed-facility-report?fid=110010720229
110000875367,PPG INDUSTRIES CHLOR-ALKALI PLANT,6,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000875367
110070645441,LOST CREEK SALVAGE,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070645441
110020573333,REO PROCESSING WEST VIRGINIA,5,3.0,http://echo.epa.gov/detailed-facility-report?fid=110020573333
110001930019,"OHIO VALLEY MED CTR,  WHEELING",5,2.0,http://echo.epa.gov/detailed-facility-report?fid=110001930019
110001932231,"ADELL POLYMERS,  PO BOX 252 LESAGE SI",5,,http://echo.epa.gov/detailed-facility-report?fid=110001932231
110070642139,BIDELL GAS COMPRESSION,5,,http://echo.epa.gov/detailed-facility-report?fid=110070642139
110070637777,PRECISION MACHINE & HYD INC,5,,http://echo.epa.gov/detailed-facility-report?fid=110070637777
110070638274,VERSO LUKE LLC - BERYL OPERATIONS,4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070638274
110054610505,WVU-EHS COLISEUM,4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110054610505
110070648253,BED BATH AND BEYOND #1043,4,,http://echo.epa.gov/detailed-facility-report?fid=110070648253
110070646631,PETCO STORE #1799,4,,http://echo.epa.gov/detailed-facility-report?fid=110070646631
110000344814,MPM SILICONES LLC,4,,http://echo.epa.gov/detailed-facility-report?fid=110000344814
110000830263,BOMBARDIER SERVICES CORPORATION,4,,http://echo.epa.gov/detailed-facility-report?fid=110000830263
110042081939,SEVERSTAL WHEELING INC - FOLLANSBEE,3,2.0,http://echo.epa.gov/detailed-facility-report?fid=110042081939
