,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL
6848,FRONTIER REFINING INC,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000468048
8225,SINCLAIR OIL CORPORATION,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000468093
2789,SINCLAIR CASPER REFINING,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110011942719
3322,WYOMING REFINING CO,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000468226
6187,MOUNTAIN CEMENT COMPANY - CENTEX,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110005580503
3874,BUCKNUM BENTONITE PLANT (TOLSA WYOMING BENTONITE CORPORATION),12,,http://echo.epa.gov/detailed-facility-report?fid=110041354575
5859,JIM BRIDGER PLANT,12,,http://echo.epa.gov/detailed-facility-report?fid=110007899970
2310,GENERAL CHEMICAL,11,5.0,http://echo.epa.gov/detailed-facility-report?fid=110007899756
7770,ANADARKO GATHERING-SUN DOG CBM POD 6,10,2.0,http://echo.epa.gov/detailed-facility-report?fid=110020760700
6881,SHUTE CREEK TREATING FACILITY (EXXON MOBIL CORPORATION),10,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007900806
7505,GREEN RIVER SODIUM PRODUCTS PLANT (CHURCH & DWIGHT INCORPORATED),10,,http://echo.epa.gov/detailed-facility-report?fid=110002136313
6754,BLACKS FORK GAS PLANT,8,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000729196
800,HULETT MILL,8,,http://echo.epa.gov/detailed-facility-report?fid=110006152509
5726,JONATHON LIME PLANT & LIME KILN DUST LANDFILL (PETE LIEN & SONS INCORPORATED),7,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070005256
5769,GEORGIA PACIFIC CORPORATION,7,1.0,http://echo.epa.gov/detailed-facility-report?fid=110002136199
6949,ANSCHUTZ RANCH EAST GAS PLANT,7,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007346942
9085,FMC GRANGER,6,2.0,http://echo.epa.gov/detailed-facility-report?fid=110043087619
6282,PACIFICORP - NAUGHTON PLANT,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110042054013
529,SOLVAY SODA ASH JOINT VENTURE,5,2.0,http://echo.epa.gov/detailed-facility-report?fid=110007899248
3255,SHERIDAN VA MEDICAL CENTER,4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110013028918
