,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL
295,SINCLAIR WYOMING REFINING COMPANY,12,,http://echo.epa.gov/detailed-facility-report?fid=110060623543
370,"SUPERIOR AUTOMOTIVE AND TIRE, LLC",12,,http://echo.epa.gov/detailed-facility-report?fid=110070648478
4472,"FREMONT TRADING COMPANY, LLC",12,,http://echo.epa.gov/detailed-facility-report?fid=110070649061
8148,"LEWIS HOLDING COMPANY, INC.",12,,http://echo.epa.gov/detailed-facility-report?fid=110070648531
11702,"GREENE'S ENERGY SERVICES, INC.",9,,http://echo.epa.gov/detailed-facility-report?fid=110046410095
1185,SILVER EAGLE REFINING - EVANSTON,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000600378
7936,UPRR CHEYENNE RAILROAD FACILITY,4,,http://echo.epa.gov/detailed-facility-report?fid=110002377730
2588,SINCLAIR CASPER REFINING COMPANY,3,,http://echo.epa.gov/detailed-facility-report?fid=110070641614
3570,BAKER HUGHES JOINT FACILITY,3,,http://echo.epa.gov/detailed-facility-report?fid=110067204910
2744,BANNER STORE,2,,http://echo.epa.gov/detailed-facility-report?fid=WYR000219857
6669,FAT BOYS TIRE,2,,http://echo.epa.gov/detailed-facility-report?fid=110070647956
7465,TRI-STATE OIL RECLAIMERS - TRI-STATE OIL RECLAIMERS -,2,,http://echo.epa.gov/detailed-facility-report?fid=110005580193
8276,PARK COUNTY SCHOOL DISTRICT #1 BUS BARN,2,,http://echo.epa.gov/detailed-facility-report?fid=110070649602
9288,WORLAND FORD-CHRYSLER,2,,http://echo.epa.gov/detailed-facility-report?fid=110070643332
9634,ASAP AUTO REPAIR,2,,http://echo.epa.gov/detailed-facility-report?fid=110070649600
10100,BOB'S AUTO REPAIR,2,,http://echo.epa.gov/detailed-facility-report?fid=110070650139
11551,REV ENERGY SERVICES,2,,http://echo.epa.gov/detailed-facility-report?fid=110070644547
106,"WYODAK ENERGY SERVICES, LLC",1,,http://echo.epa.gov/detailed-facility-report?fid=110070642312
365,LARAMIE PEAK MOTORS LLC,1,,http://echo.epa.gov/detailed-facility-report?fid=110070641758
395,ROCKY MTN BRAKE & SUPPLY,1,,http://echo.epa.gov/detailed-facility-report?fid=110070644523
