NPDES_ID,REGISTRY_ID,ACTIVITY_ID,ACTIVITY_TYPE_CODE,COMP_MONITOR_TYPE_CODE,COMP_MONITOR_TYPE_DESC,STATE_EPA_FLAG,ACTUAL_BEGIN_DATE,ACTUAL_END_DATE,ACTIVITY_OUTCOME_CODE,ACTIVITY_OUTCOME_DESC,FAC_NAME,FAC_STREET,FAC_CITY,FAC_STATE,FAC_ZIP,FAC_COUNTY,FAC_EPA_REGION,FAC_LAT,FAC_LONG,FAC_DERIVED_WBD,FAC_DERIVED_CD113,FAC_PERCENT_MINORITY,FAC_POP_DEN,DFR_URL
MAR1001DO,110070250247,3601781749,INS,CEI,Evaluation,E,03/18/2019,03/18/2019,,,MACY ESTATES - 12 LOT SUBDIVISION,OFF MONIQUE DRIVE,BELLINGHAM,MA,2019,NORFOLK COUNTY,1,42.1072,-71.4799,10900010601,4,11.052,899.07,http://echo.epa.gov/detailed-facility-report?fid=110070250247
MAR05CV86,110000311779,1800008779,INS,CEI,Evaluation,S,06/30/2009,06/30/2009,,,SOMERSET POWER GENERATING STATION,1606 RIVERSIDE AVENUE,SOMERSET,MA,2726,BRISTOL,1,41.7378,-71.1453,10900040804,4,11.815,2621.5,http://echo.epa.gov/detailed-facility-report?fid=110000311779
MAR1001Q3,110070387491,3601782629,INS,CEI,Evaluation,E,03/18/2019,03/18/2019,,,SALMON HEALTH AND RETIREMENT COMMUNITY,261 VILLAGE STREET,MEDWAY,MA,2053,,1,42.13923,-71.41351,10900010602,4,7.04,1075.01,http://echo.epa.gov/detailed-facility-report?fid=110070387491
MA0001856,110000311779,20121640,INS,SA1,Sampling,S,,08/12/1983,,,SOMERSET POWER GENERATING STATION,1606 RIVERSIDE AVENUE,SOMERSET,MA,2726,BRISTOL,1,41.7378,-71.1453,10900040804,4,11.815,2621.5,http://echo.epa.gov/detailed-facility-report?fid=110000311779
MA0001856,110000311779,20121630,INS,CEI,Evaluation,E,,06/24/1998,,,SOMERSET POWER GENERATING STATION,1606 RIVERSIDE AVENUE,SOMERSET,MA,2726,BRISTOL,1,41.7378,-71.1453,10900040804,4,11.815,2621.5,http://echo.epa.gov/detailed-facility-report?fid=110000311779
MA0001856,110000311779,20121632,INS,CEI,Evaluation,S,,03/31/1993,,,SOMERSET POWER GENERATING STATION,1606 RIVERSIDE AVENUE,SOMERSET,MA,2726,BRISTOL,1,41.7378,-71.1453,10900040804,4,11.815,2621.5,http://echo.epa.gov/detailed-facility-report?fid=110000311779
MA0001856,110000311779,20121636,INS,CEI,Evaluation,S,,06/22/1989,,,SOMERSET POWER GENERATING STATION,1606 RIVERSIDE AVENUE,SOMERSET,MA,2726,BRISTOL,1,41.7378,-71.1453,10900040804,4,11.815,2621.5,http://echo.epa.gov/detailed-facility-report?fid=110000311779
MA0001856,110000311779,20121639,INS,CEI,Evaluation,E,,03/19/1984,,,SOMERSET POWER GENERATING STATION,1606 RIVERSIDE AVENUE,SOMERSET,MA,2726,BRISTOL,1,41.7378,-71.1453,10900040804,4,11.815,2621.5,http://echo.epa.gov/detailed-facility-report?fid=110000311779
MA0001856,110000311779,20121629,INS,CEI,Evaluation,E,,06/25/1996,,,SOMERSET POWER GENERATING STATION,1606 RIVERSIDE AVENUE,SOMERSET,MA,2726,BRISTOL,1,41.7378,-71.1453,10900040804,4,11.815,2621.5,http://echo.epa.gov/detailed-facility-report?fid=110000311779
MA0001856,110000311779,20121635,INS,CEI,Evaluation,E,,06/11/1992,,,SOMERSET POWER GENERATING STATION,1606 RIVERSIDE AVENUE,SOMERSET,MA,2726,BRISTOL,1,41.7378,-71.1453,10900040804,4,11.815,2621.5,http://echo.epa.gov/detailed-facility-report?fid=110000311779
MA0001856,110000311779,1800008708,INS,CEI,Evaluation,S,06/30/2009,06/30/2009,,,SOMERSET POWER GENERATING STATION,1606 RIVERSIDE AVENUE,SOMERSET,MA,2726,BRISTOL,1,41.7378,-71.1453,10900040804,4,11.815,2621.5,http://echo.epa.gov/detailed-facility-report?fid=110000311779
MA0001856,110000311779,20121638,INS,CEI,Evaluation,S,,11/26/1986,,,SOMERSET POWER GENERATING STATION,1606 RIVERSIDE AVENUE,SOMERSET,MA,2726,BRISTOL,1,41.7378,-71.1453,10900040804,4,11.815,2621.5,http://echo.epa.gov/detailed-facility-report?fid=110000311779
MA0001856,110000311779,600002116,INS,CEI,Evaluation,E,08/23/2006,08/23/2006,,,SOMERSET POWER GENERATING STATION,1606 RIVERSIDE AVENUE,SOMERSET,MA,2726,BRISTOL,1,41.7378,-71.1453,10900040804,4,11.815,2621.5,http://echo.epa.gov/detailed-facility-report?fid=110000311779
MA0001856,110000311779,20121631,INS,CEI,Evaluation,S,,05/11/1990,,,SOMERSET POWER GENERATING STATION,1606 RIVERSIDE AVENUE,SOMERSET,MA,2726,BRISTOL,1,41.7378,-71.1453,10900040804,4,11.815,2621.5,http://echo.epa.gov/detailed-facility-report?fid=110000311779
MA0001856,110000311779,20121633,INS,CEI,Evaluation,S,,04/16/1991,,,SOMERSET POWER GENERATING STATION,1606 RIVERSIDE AVENUE,SOMERSET,MA,2726,BRISTOL,1,41.7378,-71.1453,10900040804,4,11.815,2621.5,http://echo.epa.gov/detailed-facility-report?fid=110000311779
MA0001856,110000311779,20121641,INS,CEI,Evaluation,E,,12/17/1981,,,SOMERSET POWER GENERATING STATION,1606 RIVERSIDE AVENUE,SOMERSET,MA,2726,BRISTOL,1,41.7378,-71.1453,10900040804,4,11.815,2621.5,http://echo.epa.gov/detailed-facility-report?fid=110000311779
MA0001856,110000311779,20121634,INS,CEI,Evaluation,S,,06/02/1994,,,SOMERSET POWER GENERATING STATION,1606 RIVERSIDE AVENUE,SOMERSET,MA,2726,BRISTOL,1,41.7378,-71.1453,10900040804,4,11.815,2621.5,http://echo.epa.gov/detailed-facility-report?fid=110000311779
MA0001856,110000311779,20121637,INS,CEI,Evaluation,S,,03/09/1988,,,SOMERSET POWER GENERATING STATION,1606 RIVERSIDE AVENUE,SOMERSET,MA,2726,BRISTOL,1,41.7378,-71.1453,10900040804,4,11.815,2621.5,http://echo.epa.gov/detailed-facility-report?fid=110000311779
MA0001856,110000311779,20121640,INS,CEI,Evaluation,S,,08/12/1983,,,SOMERSET POWER GENERATING STATION,1606 RIVERSIDE AVENUE,SOMERSET,MA,2726,BRISTOL,1,41.7378,-71.1453,10900040804,4,11.815,2621.5,http://echo.epa.gov/detailed-facility-report?fid=110000311779
MAR053632,110066886123,3600698610,INS,CEI,Evaluation,E,04/11/2016,04/11/2016,,,RECYCLING AND DISPOSAL FACILITY,169 GREAT PLAIN AVENUE,WELLESLEY,MA,2482,NORFOLK,1,42.29262,-71.27166,10900010701,4,14.717,2280.85,http://echo.epa.gov/detailed-facility-report?fid=110066886123
MAD000116,110030899268,600043939,INS,CEI,Evaluation,E,04/13/2007,04/13/2007,,,PLAINRIDGE RACECOURSE,301 WASHINGTON STREET,PLAINVILLE,MA,2762,NORFOLK,1,42.032261,-71.309053,10900040301,4,6.396,798.89,http://echo.epa.gov/detailed-facility-report?fid=110030899268
MA0101702,110006618856,20127539,INS,CEI,Evaluation,E,,06/04/1997,,,MANSFIELD WATER POLLUTION CONTROL FACILITY,80 HILL STREET (AT CRANE ST),NORTON,MA,2766,BRISTOL,1,41.951935,-71.145916,10900040302,4,8.107999999999999,688.63,http://echo.epa.gov/detailed-facility-report?fid=110006618856
MA0101702,110006618856,20127563,INS,ROS,Reconnaissance without Sampling,S,,07/28/1988,,,MANSFIELD WATER POLLUTION CONTROL FACILITY,80 HILL STREET (AT CRANE ST),NORTON,MA,2766,BRISTOL,1,41.951935,-71.145916,10900040302,4,8.107999999999999,688.63,http://echo.epa.gov/detailed-facility-report?fid=110006618856
MA0101702,110006618856,20127567,INS,CEI,Evaluation,S,,10/13/1985,,,MANSFIELD WATER POLLUTION CONTROL FACILITY,80 HILL STREET (AT CRANE ST),NORTON,MA,2766,BRISTOL,1,41.951935,-71.145916,10900040302,4,8.107999999999999,688.63,http://echo.epa.gov/detailed-facility-report?fid=110006618856
MA0101702,110006618856,20127566,INS,CEI,Evaluation,S,,10/15/1985,,,MANSFIELD WATER POLLUTION CONTROL FACILITY,80 HILL STREET (AT CRANE ST),NORTON,MA,2766,BRISTOL,1,41.951935,-71.145916,10900040302,4,8.107999999999999,688.63,http://echo.epa.gov/detailed-facility-report?fid=110006618856
MA0101702,110006618856,20127542,INS,CEI,Evaluation,S,,06/25/1996,,,MANSFIELD WATER POLLUTION CONTROL FACILITY,80 HILL STREET (AT CRANE ST),NORTON,MA,2766,BRISTOL,1,41.951935,-71.145916,10900040302,4,8.107999999999999,688.63,http://echo.epa.gov/detailed-facility-report?fid=110006618856
MA0101702,110006618856,20127543,INS,CE2,Evaluation (IU),E,,06/17/1999,,,MANSFIELD WATER POLLUTION CONTROL FACILITY,80 HILL STREET (AT CRANE ST),NORTON,MA,2766,BRISTOL,1,41.951935,-71.145916,10900040302,4,8.107999999999999,688.63,http://echo.epa.gov/detailed-facility-report?fid=110006618856
MA0101702,110006618856,20127551,INS,FLP,Follow-Up,E,,09/01/1994,,,MANSFIELD WATER POLLUTION CONTROL FACILITY,80 HILL STREET (AT CRANE ST),NORTON,MA,2766,BRISTOL,1,41.951935,-71.145916,10900040302,4,8.107999999999999,688.63,http://echo.epa.gov/detailed-facility-report?fid=110006618856
MA0101702,110006618856,20127553,INS,CEI,Evaluation,S,,12/17/1990,,,MANSFIELD WATER POLLUTION CONTROL FACILITY,80 HILL STREET (AT CRANE ST),NORTON,MA,2766,BRISTOL,1,41.951935,-71.145916,10900040302,4,8.107999999999999,688.63,http://echo.epa.gov/detailed-facility-report?fid=110006618856
MA0101702,110006618856,20127555,INS,CEI,Evaluation,S,,05/25/1994,,,MANSFIELD WATER POLLUTION CONTROL FACILITY,80 HILL STREET (AT CRANE ST),NORTON,MA,2766,BRISTOL,1,41.951935,-71.145916,10900040302,4,8.107999999999999,688.63,http://echo.epa.gov/detailed-facility-report?fid=110006618856
