CD/State,Num per 1000,Region
AZ1,933.8842975,Congressional Districts
CA18,546.2184874,Congressional Districts
CA29,1203.571429,Congressional Districts
CA36,1350.21097,Congressional Districts
CA44,1004.424779,Congressional Districts
CA52,598.6622074,Congressional Districts
CA6,1082.608696,Congressional Districts
CA9,1511.749347,Congressional Districts
CA9,1511.749347,Congressional Districts
CO1,1716.814159,Congressional Districts
FL12,161.0284168,Congressional Districts
FL14,206.2572422,Congressional Districts
FL9,164.6757679,Congressional Districts
GA1,556.903524,Congressional Districts
IA2,8260.663507,Congressional Districts
IL1,2039.370079,Congressional Districts
IL15,4899.491094,Congressional Districts
IL16,4047.756874,Congressional Districts
IL2,1822.981366,Congressional Districts
IL9,1157.142857,Congressional Districts
IN5,414.381023,Congressional Districts
IN8,1154.668567,Congressional Districts
KY2,1282.626766,Congressional Districts
LA1,1442.050278,Congressional Districts
MA4,532.00883,Congressional Districts
MD3,404.7619048,Congressional Districts
MI12,6146.853147,Congressional Districts
MI6,7115.254237,Congressional Districts
MI7,8652.597403,Congressional Districts
MO7,2666.064982,Congressional Districts
NC1,302.4602026,Congressional Districts
NC8,855.721393,Congressional Districts
NH2,361.2403101,Congressional Districts
NJ6,1817.880795,Congressional Districts
NM3,843.5207824,Congressional Districts
NY16,3892.156863,Congressional Districts
NY20,2837.628866,Congressional Districts
NY9,26500,Congressional Districts
OH5,3728.358209,Congressional Districts
OH6,3318.38565,Congressional Districts
OK2,5535.326087,Congressional Districts
OR2,382.9401089,Congressional Districts
OR5,103.1976744,Congressional Districts
PA18,763.6363636,Congressional Districts
SC3,1368.613139,Congressional Districts
TX17,405.9139785,Congressional Districts
TX22,195.5782313,Congressional Districts
TX26,177.5631501,Congressional Districts
TX33,18.9701897,Congressional Districts
VA4,676.056338,Congressional Districts
VA9,358.184765,Congressional Districts
WA5,10294.11765,Congressional Districts
WV1,1662.635425,Congressional Districts
AK,8409.621993,States
AL,401.1627907,States
AR,1719.049695,States
DE,1051.282051,States
DE,1051.282051,States
IA,6661.764706,States
IL,2849.619207,States
IN,733.6803482,States
MA,410.2797362,States
MD,797.4475093,States
MS,650.1944635,States
ND,188.1993896,States
NJ,1200.20448,States
OK,4430.740038,States
OR,175.4729289,States
RI,1296.625222,States
SD,1274.268105,States
VT,2221.556886,States
WV,1946.582424,States
WY,1069.436851,States
NY,2713.157895,States
MT,1167.36754,States
