"","CD","Date","Amount","Count","Amountinthousands","President"
"1","CA36",2001,0,5,0,"Bush"
"2","CA36",2002,0,1,0,"Bush"
"3","CA36",2003,0,0,0,"Bush"
"4","CA36",2004,0,1,0,"Bush"
"5","CA36",2005,0,0,0,"Bush"
"6","CA36",2006,0,0,0,"Bush"
"7","CA36",2007,0,1,0,"Bush"
"8","CA36",2008,0,1,0,"Obama"
"9","CA36",2009,0,0,0,"Obama"
"10","CA36",2010,0,2,0,"Obama"
"11","CA36",2011,0,3,0,"Obama"
"12","CA36",2012,0,0,0,"Obama"
"13","CA36",2013,0,0,0,"Obama"
"14","CA36",2014,0,1,0,"Obama"
"15","CA36",2015,0,1,0,"Obama"
"16","CA36",2016,0,0,0,"Obama"
"17","CA36",2017,0,0,0,"Trump"
"18","CA36",2018,0,0,0,"Trump"
"19","CA36",2019,0,1,0,"Trump"
"20","FL14",2001,0,3,0,"Bush"
"21","FL14",2002,2100,3,2,"Bush"
"22","FL14",2003,0,4,0,"Bush"
"23","FL14",2004,55300,2,55,"Bush"
"24","FL14",2005,0,2,0,"Bush"
"25","FL14",2006,0,3,0,"Bush"
"26","FL14",2007,0,1,0,"Bush"
"27","FL14",2008,0,7,0,"Obama"
"28","FL14",2009,0,3,0,"Obama"
"29","FL14",2010,0,8,0,"Obama"
"30","FL14",2011,0,5,0,"Obama"
"31","FL14",2012,0,2,0,"Obama"
"32","FL14",2013,0,0,0,"Obama"
"33","FL14",2014,0,5,0,"Obama"
"34","FL14",2015,0,2,0,"Obama"
"35","FL14",2016,0,3,0,"Obama"
"36","FL14",2017,0,1,0,"Trump"
"37","FL14",2018,42728.49,5,43,"Trump"
"38","FL14",2019,0,4,0,"Trump"
"39","OR2",2001,25580,7,26,"Bush"
"40","OR2",2002,0,0,0,"Bush"
"41","OR2",2003,0,0,0,"Bush"
"42","OR2",2004,0,0,0,"Bush"
"43","OR2",2005,0,0,0,"Bush"
"44","OR2",2006,0,0,0,"Bush"
"45","OR2",2007,0,0,0,"Bush"
"46","OR2",2008,0,0,0,"Obama"
"47","OR2",2009,8000,5,8,"Obama"
"48","OR2",2010,0,4,0,"Obama"
"49","OR2",2011,0,1,0,"Obama"
"50","OR2",2012,0,0,0,"Obama"
"51","OR2",2013,0,4,0,"Obama"
"52","OR2",2014,0,1,0,"Obama"
"53","OR2",2015,0,1,0,"Obama"
"54","OR2",2016,0,4,0,"Obama"
"55","OR2",2017,0,6,0,"Trump"
"56","OR2",2018,0,1,0,"Trump"
"57","OR2",2019,0,9,0,"Trump"
"58","TX26",2001,0,3,0,"Bush"
"59","TX26",2002,0,11,0,"Bush"
"60","TX26",2003,0,10,0,"Bush"
"61","TX26",2004,0,12,0,"Bush"
"62","TX26",2005,0,4,0,"Bush"
"63","TX26",2006,7500,7,8,"Bush"
"64","TX26",2007,0,1,0,"Bush"
"65","TX26",2008,0,3,0,"Obama"
"66","TX26",2009,0,2,0,"Obama"
"67","TX26",2010,0,3,0,"Obama"
"68","TX26",2011,0,4,0,"Obama"
"69","TX26",2012,0,3,0,"Obama"
"70","TX26",2013,0,3,0,"Obama"
"71","TX26",2014,0,6,0,"Obama"
"72","TX26",2015,0,3,0,"Obama"
"73","TX26",2016,0,3,0,"Obama"
"74","TX26",2017,0,6,0,"Trump"
"75","TX26",2018,0,2,0,"Trump"
"76","TX26",2019,0,10,0,"Trump"
"77","VA4",2001,0,1,0,"Bush"
"78","VA4",2002,0,5,0,"Bush"
"79","VA4",2003,33000,13,33,"Bush"
"80","VA4",2004,0,5,0,"Bush"
"81","VA4",2005,4500,9,4,"Bush"
"82","VA4",2006,0,5,0,"Bush"
"83","VA4",2007,0,3,0,"Bush"
"84","VA4",2008,0,2,0,"Obama"
"85","VA4",2009,0,2,0,"Obama"
"86","VA4",2010,450000,2,450,"Obama"
"87","VA4",2011,0,6,0,"Obama"
"88","VA4",2012,0,5,0,"Obama"
"89","VA4",2013,0,4,0,"Obama"
"90","VA4",2014,0,5,0,"Obama"
"91","VA4",2015,0,2,0,"Obama"
"92","VA4",2016,0,0,0,"Obama"
"93","VA4",2017,0,7,0,"Trump"
"94","VA4",2018,2e+05,10,200,"Trump"
"95","VA4",2019,0,5,0,"Trump"
