"","CD","YEAR","Count","President"
"1","CA36",2001,2,"Bush"
"2","CA36",2002,0,"Bush"
"3","CA36",2003,2,"Bush"
"4","CA36",2004,20,"Bush"
"5","CA36",2005,31,"Bush"
"6","CA36",2006,84,"Bush"
"7","CA36",2007,93,"Bush"
"8","CA36",2008,44,"Bush"
"9","CA36",2009,19,"Obama"
"10","CA36",2010,38,"Obama"
"11","CA36",2011,25,"Obama"
"12","CA36",2012,24,"Obama"
"13","CA36",2013,29,"Obama"
"14","CA36",2014,28,"Obama"
"15","CA36",2015,14,"Obama"
"16","CA36",2016,47,"Obama"
"17","CA36",2017,76,"Trump"
"18","CA36",2018,172,"Trump"
"19","CA36",2019,320,"Trump"
"20","FL14",2001,16,"Bush"
"21","FL14",2002,15,"Bush"
"22","FL14",2003,52,"Bush"
"23","FL14",2004,53,"Bush"
"24","FL14",2005,64,"Bush"
"25","FL14",2006,65,"Bush"
"26","FL14",2007,58,"Bush"
"27","FL14",2008,70,"Bush"
"28","FL14",2009,67,"Obama"
"29","FL14",2010,55,"Obama"
"30","FL14",2011,127,"Obama"
"31","FL14",2012,82,"Obama"
"32","FL14",2013,96,"Obama"
"33","FL14",2014,72,"Obama"
"34","FL14",2015,82,"Obama"
"35","FL14",2016,91,"Obama"
"36","FL14",2017,80,"Trump"
"37","FL14",2018,89,"Trump"
"38","FL14",2019,178,"Trump"
"39","OR2",2001,5,"Bush"
"40","OR2",2002,5,"Bush"
"41","OR2",2003,3,"Bush"
"42","OR2",2004,13,"Bush"
"43","OR2",2005,13,"Bush"
"44","OR2",2006,27,"Bush"
"45","OR2",2007,16,"Bush"
"46","OR2",2008,10,"Bush"
"47","OR2",2009,24,"Obama"
"48","OR2",2010,78,"Obama"
"49","OR2",2011,145,"Obama"
"50","OR2",2012,68,"Obama"
"51","OR2",2013,99,"Obama"
"52","OR2",2014,126,"Obama"
"53","OR2",2015,103,"Obama"
"54","OR2",2016,118,"Obama"
"55","OR2",2017,71,"Trump"
"56","OR2",2018,86,"Trump"
"57","OR2",2019,104,"Trump"
"58","TX26",2002,120,"Bush"
"59","TX26",2003,293,"Bush"
"60","TX26",2004,244,"Bush"
"61","TX26",2005,205,"Bush"
"62","TX26",2006,153,"Bush"
"63","TX26",2007,164,"Bush"
"64","TX26",2008,246,"Bush"
"65","TX26",2009,122,"Bush"
"66","TX26",2010,143,"Obama"
"67","TX26",2011,166,"Obama"
"68","TX26",2012,135,"Obama"
"69","TX26",2013,186,"Obama"
"70","TX26",2014,212,"Obama"
"71","TX26",2015,168,"Obama"
"72","TX26",2016,164,"Obama"
"73","TX26",2017,167,"Obama"
"74","TX26",2018,274,"Trump"
"75","TX26",2019,239,"Trump"
"76","TX26",2020,109,"Trump"
"77","VA4",2001,21,"Bush"
"78","VA4",2002,4,"Bush"
"79","VA4",2003,1,"Bush"
"80","VA4",2004,0,"Bush"
"81","VA4",2005,8,"Bush"
"82","VA4",2006,3,"Bush"
"83","VA4",2007,6,"Bush"
"84","VA4",2008,10,"Bush"
"85","VA4",2009,39,"Obama"
"86","VA4",2010,28,"Obama"
"87","VA4",2011,35,"Obama"
"88","VA4",2012,35,"Obama"
"89","VA4",2013,77,"Obama"
"90","VA4",2014,66,"Obama"
"91","VA4",2015,48,"Obama"
"92","VA4",2016,202,"Obama"
"93","VA4",2017,259,"Trump"
"94","VA4",2018,261,"Trump"
"95","VA4",2019,192,"Trump"
