"","Date","Amount","Count","Amountinthousands","President"
"1",2001,0,3,0,"Bush"
"2",2002,2100,3,2,"Bush"
"3",2003,0,4,0,"Bush"
"4",2004,55300,2,55,"Bush"
"5",2005,0,2,0,"Bush"
"6",2006,0,3,0,"Bush"
"7",2007,0,1,0,"Bush"
"8",2008,0,7,0,"Obama"
"9",2009,0,3,0,"Obama"
"10",2010,0,8,0,"Obama"
"11",2011,0,5,0,"Obama"
"12",2012,0,2,0,"Obama"
"13",2013,0,0,0,"Obama"
"14",2014,0,5,0,"Obama"
"15",2015,0,2,0,"Obama"
"16",2016,0,3,0,"Obama"
"17",2017,0,1,0,"Trump"
"18",2018,42728.49,5,43,"Trump"
"19",2019,0,4,0,"Trump"
