"","Date","Amount","Count","Amountinthousands","President"
"1",2001,183911,67,184,"Bush"
"2",2002,95870,77,96,"Bush"
"3",2003,91535,64,92,"Bush"
"4",2004,96305,56,96,"Bush"
"5",2005,61488,59,61,"Bush"
"6",2006,146365,104,146,"Bush"
"7",2007,197685,80,198,"Bush"
"8",2008,114327,72,114,"Bush"
"9",2009,218407,118,218,"Obama"
"10",2010,340758,109,341,"Obama"
"11",2011,130839,114,131,"Obama"
"12",2012,46379,52,46,"Obama"
"13",2013,0,36,0,"Obama"
"14",2014,127674,42,128,"Obama"
"15",2015,61735,33,62,"Obama"
"16",2016,132574,50,133,"Obama"
"17",2017,96732,24,97,"Trump"
"18",2018,123439,34,123,"Trump"
"19",2019,69081,18,69,"Trump"
