"","Date","Amount","Count","Amountinthousands","President"
"1",2001,25580,7,26,"Bush"
"2",2002,0,0,0,"Bush"
"3",2003,0,0,0,"Bush"
"4",2004,0,0,0,"Bush"
"5",2005,0,0,0,"Bush"
"6",2006,0,0,0,"Bush"
"7",2007,0,0,0,"Bush"
"8",2008,0,0,0,"Obama"
"9",2009,8000,5,8,"Obama"
"10",2010,0,4,0,"Obama"
"11",2011,0,1,0,"Obama"
"12",2012,0,0,0,"Obama"
"13",2013,0,4,0,"Obama"
"14",2014,0,1,0,"Obama"
"15",2015,0,1,0,"Obama"
"16",2016,0,4,0,"Obama"
"17",2017,0,6,0,"Trump"
"18",2018,0,1,0,"Trump"
"19",2019,0,9,0,"Trump"
