"","Date","Amount","Count","Amountinthousands","President"
"1",2001,54053,50,54,"Bush"
"2",2002,1946732,44,1947,"Bush"
"3",2003,63595,51,64,"Bush"
"4",2004,34592,56,35,"Bush"
"5",2005,87551,44,88,"Bush"
"6",2006,128767,39,129,"Bush"
"7",2007,122566,55,123,"Bush"
"8",2008,34715,37,35,"Bush"
"9",2009,55616,52,56,"Obama"
"10",2010,62613,37,63,"Obama"
"11",2011,35668,44,36,"Obama"
"12",2012,130104,47,130,"Obama"
"13",2013,444500,25,444,"Obama"
"14",2014,378806,23,379,"Obama"
"15",2015,22600,12,23,"Obama"
"16",2016,74338,24,74,"Obama"
"17",2017,73094,27,73,"Trump"
"18",2018,185432,15,185,"Trump"
"19",2019,18623,22,19,"Trump"
