"","Date","Amount","Count","Amountinthousands","President"
"1",2001,105433,4,105,"Bush"
"2",2002,10000,13,10,"Bush"
"3",2003,76050,18,76,"Bush"
"4",2004,142500,15,142,"Bush"
"5",2005,0,4,0,"Bush"
"6",2006,12300,21,12,"Bush"
"7",2007,2548,9,3,"Bush"
"8",2008,16967,10,17,"Bush"
"9",2009,10914,6,11,"Obama"
"10",2010,3850,8,4,"Obama"
"11",2011,12125,6,12,"Obama"
"12",2012,0,8,0,"Obama"
"13",2013,0,4,0,"Obama"
"14",2014,10845,8,11,"Obama"
"15",2015,5251,6,5,"Obama"
"16",2016,60605,11,61,"Obama"
"17",2017,8438,13,8,"Trump"
"18",2018,186963,16,187,"Trump"
"19",2019,8035,20,8,"Trump"
