"","Date","Amount","Count","Amountinthousands","President"
"1",2001,18000,38,18,"Bush"
"2",2002,943990,25,944,"Bush"
"3",2003,1562100,39,1562,"Bush"
"4",2004,691360,35,691,"Bush"
"5",2005,62528,40,63,"Bush"
"6",2006,53820,30,54,"Bush"
"7",2007,605310,23,605,"Bush"
"8",2008,720811,17,721,"Bush"
"9",2009,77047,21,77,"Obama"
"10",2010,619242,16,619,"Obama"
"11",2011,373719,19,374,"Obama"
"12",2012,280406,24,280,"Obama"
"13",2013,3419130,27,3419,"Obama"
"14",2014,259753,38,260,"Obama"
"15",2015,150475,18,150,"Obama"
"16",2016,51596,17,52,"Obama"
"17",2017,103604,25,104,"Trump"
"18",2018,257207,30,257,"Trump"
"19",2019,302221,21,302,"Trump"
