"","CD","Date","Amount","Count","Amountinthousands","President"
"1","CA36",2001,0,7,0,"Bush"
"2","CA36",2002,5000,2,5,"Bush"
"3","CA36",2003,0,3,0,"Bush"
"4","CA36",2004,69600,9,70,"Bush"
"5","CA36",2005,0,0,0,"Bush"
"6","CA36",2006,500,4,0,"Bush"
"7","CA36",2007,3916458,9,3916,"Bush"
"8","CA36",2008,168000,6,168,"Bush"
"9","CA36",2009,5000,3,5,"Obama"
"10","CA36",2010,0,7,0,"Obama"
"11","CA36",2011,2000,6,2,"Obama"
"12","CA36",2012,0,3,0,"Obama"
"13","CA36",2013,0,2,0,"Obama"
"14","CA36",2014,0,3,0,"Obama"
"15","CA36",2015,0,2,0,"Obama"
"16","CA36",2016,0,0,0,"Obama"
"17","CA36",2017,0,0,0,"Trump"
"18","CA36",2018,0,3,0,"Trump"
"19","CA36",2019,0,1,0,"Trump"
"20","FL14",2001,183911,67,184,"Bush"
"21","FL14",2002,95870,77,96,"Bush"
"22","FL14",2003,91535,64,92,"Bush"
"23","FL14",2004,96305,56,96,"Bush"
"24","FL14",2005,61488,59,61,"Bush"
"25","FL14",2006,146365,104,146,"Bush"
"26","FL14",2007,197685,80,198,"Bush"
"27","FL14",2008,114327,72,114,"Bush"
"28","FL14",2009,218407,118,218,"Obama"
"29","FL14",2010,340758,109,341,"Obama"
"30","FL14",2011,130839,114,131,"Obama"
"31","FL14",2012,46379,52,46,"Obama"
"32","FL14",2013,0,36,0,"Obama"
"33","FL14",2014,127674,42,128,"Obama"
"34","FL14",2015,61735,33,62,"Obama"
"35","FL14",2016,132574,50,133,"Obama"
"36","FL14",2017,96732,24,97,"Trump"
"37","FL14",2018,123439,34,123,"Trump"
"38","FL14",2019,69081,18,69,"Trump"
"39","OR2",2001,54053,50,54,"Bush"
"40","OR2",2002,1946732,44,1947,"Bush"
"41","OR2",2003,63595,51,64,"Bush"
"42","OR2",2004,34592,56,35,"Bush"
"43","OR2",2005,87551,44,88,"Bush"
"44","OR2",2006,128767,39,129,"Bush"
"45","OR2",2007,122566,55,123,"Bush"
"46","OR2",2008,34715,37,35,"Bush"
"47","OR2",2009,55616,52,56,"Obama"
"48","OR2",2010,62613,37,63,"Obama"
"49","OR2",2011,35668,44,36,"Obama"
"50","OR2",2012,130104,47,130,"Obama"
"51","OR2",2013,444500,25,444,"Obama"
"52","OR2",2014,378806,23,379,"Obama"
"53","OR2",2015,22600,12,23,"Obama"
"54","OR2",2016,74338,24,74,"Obama"
"55","OR2",2017,73094,27,73,"Trump"
"56","OR2",2018,185432,15,185,"Trump"
"57","OR2",2019,18623,22,19,"Trump"
"58","TX26",2001,105433,4,105,"Bush"
"59","TX26",2002,10000,13,10,"Bush"
"60","TX26",2003,76050,18,76,"Bush"
"61","TX26",2004,142500,15,142,"Bush"
"62","TX26",2005,0,4,0,"Bush"
"63","TX26",2006,12300,21,12,"Bush"
"64","TX26",2007,2548,9,3,"Bush"
"65","TX26",2008,16967,10,17,"Bush"
"66","TX26",2009,10914,6,11,"Obama"
"67","TX26",2010,3850,8,4,"Obama"
"68","TX26",2011,12125,6,12,"Obama"
"69","TX26",2012,0,8,0,"Obama"
"70","TX26",2013,0,4,0,"Obama"
"71","TX26",2014,10845,8,11,"Obama"
"72","TX26",2015,5251,6,5,"Obama"
"73","TX26",2016,60605,11,61,"Obama"
"74","TX26",2017,8438,13,8,"Trump"
"75","TX26",2018,186963,16,187,"Trump"
"76","TX26",2019,8035,20,8,"Trump"
"77","VA4",2001,18000,38,18,"Bush"
"78","VA4",2002,943990,25,944,"Bush"
"79","VA4",2003,1562100,39,1562,"Bush"
"80","VA4",2004,691360,35,691,"Bush"
"81","VA4",2005,62528,40,63,"Bush"
"82","VA4",2006,53820,30,54,"Bush"
"83","VA4",2007,605310,23,605,"Bush"
"84","VA4",2008,720811,17,721,"Bush"
"85","VA4",2009,77047,21,77,"Obama"
"86","VA4",2010,619242,16,619,"Obama"
"87","VA4",2011,373719,19,374,"Obama"
"88","VA4",2012,280406,24,280,"Obama"
"89","VA4",2013,3419130,27,3419,"Obama"
"90","VA4",2014,259753,38,260,"Obama"
"91","VA4",2015,150475,18,150,"Obama"
"92","VA4",2016,51596,17,52,"Obama"
"93","VA4",2017,103604,25,104,"Trump"
"94","VA4",2018,257207,30,257,"Trump"
"95","VA4",2019,302221,21,302,"Trump"
